prompt,gold
"A man ina shirt that says beast mode is making a video on what the best free workouts to do without a gym are. He has a weight bar with no weight and he bends over a certain way. he

Choose the most appropriate continuation:
0. shows you how to use the weight bar for different weight lifting positions.
1. also has words on the screen on how to workout as well as how to talk about the correct way to back out of it.
2. begins to skip across the weight bar, trying to ignore the pain, until he briefly stops.
3. then takes off the weight as well as throws it down and starts talking.

Answer with only the number.
Answer:
",0
"A boy shows up on the screen and gets a cup of water and gargles it. He smiles and walks off the screen for a moment. he

Choose the most appropriate continuation:
0. returns and continues gragling and laughing.
1. returns with another cup of water and swishes it around until it dries.
2. finally walks back to the table and he dumps the water into the cup and returns to settle into the chair.
3. then appears in a room with a sheet that has chad printed on it.

Answer with only the number.
Answer:
",0
"A boy shows up on the screen and gets a cup of water and gargles it. He smiles and walks off the screen for a moment. He returns and continues gragling and laughing. a man

Choose the most appropriate continuation:
0. comes after him and movie clips are shown of him dancing with women.
1. then appears in a shuffleboard court doing tricks and climbs up nets.
2. is shown getting a cup of water and enjoying it in front of a computer.
3. comes onto the screen and invites people to subscribe to his videos.

Answer with only the number.
Answer:
",3
"A woman is walking along a track. she

Choose the most appropriate continuation:
0. jumps over a pole, and lands on a mat.
1. jumps off of the bleachers she was standing on.
2. takes off at a fast run.
3. puts her arms in the air, then falls over.

Answer with only the number.
Answer:
",2
"Two men are doing martial arts with others around them watching. Many other men are shown doing several flips and tricks around each other. two men

Choose the most appropriate continuation:
0. are shown hitting people to give them an out and another man joins in.
1. are joined by a woman.
2. flip near each other while others around them watch.
3. stand on a mat while a man is bartending around them.

Answer with only the number.
Answer:
",2
"People windsurf on a large body of water. A park sign that reads ""welcome to kanaha beach park"" is shown. more windsurfers

Choose the most appropriate continuation:
0. appear with surfboards in hand and a man, a friend and the owner, giving them a tour of the site along with several surfers who are/are preparing to surf.
1. are shown in various locations on the beach.
2. are shown racing across the water.
3. are shown sailing on the ocean.

Answer with only the number.
Answer:
",2
"An african american male athlete is walking preparing himself to run. the male

Choose the most appropriate continuation:
0. athlete makes several jumps off of a low bar and lands on the ground.
1. athlete is holding a red basketball as he runs.
2. then begins to run from an angle towards the mat and does a high jump clearing the bar.
3. athlete has a whole baton twirling contest set up in his living room.

Answer with only the number.
Answer:
",2
"A man walks onto a field in front of his dog. he

Choose the most appropriate continuation:
0. starts to playoreal talk to the dog.
1. throws a frisbee, and the dog catches it.
2. harnesses to his dog a rope with a rock attached to the end.
3. goes over to have him frisked and leads him around.

Answer with only the number.
Answer:
",1
"A man walks onto a field in front of his dog. He throws a frisbee, and the dog catches it. he

Choose the most appropriate continuation:
0. drops the frisbee and wipes down the dog with a towel.
1. does several tricks with the frisbees and the dog.
2. grabs a basket and walks away.
3. stands up and throws another, and lays down on it.

Answer with only the number.
Answer:
",1
". two women, a young boy, and a teenage male

Choose the most appropriate continuation:
0. step up onto balls.
1. sit on a fence with their equipment soaping and rinsing the shaving equipment.
2. are riding horses down a dirt path looking at the scenery surrounding them.
3. dressed in a gi's, football gear, started to play the football stadium indoors and outdoors.

Answer with only the number.
Answer:
",2
"To the left of them, there is a barbwire fence with two goats on the side, a playground, and several people sitting under the hut. as they

Choose the most appropriate continuation:
0. approach, one of the goats charges the other and the man is rolled off the back.
1. continue their expedition, more people join them and more buildings of the village become vivid.
2. turn they see the goats looking at them as the people on the left grinder their goats.
3. approach the hut there is a family of dogs and they see a man on the ground also running on the sidewalk and swings by himself.

Answer with only the number.
Answer:
",1
"A man plays the tam-tams in a room. The man plays only in one tam-tam. then

Choose the most appropriate continuation:
0. , the man plays only in the third tam-tam.
1. , the man plays only one tam-tam in a room.
2. , the man play only in three tam-tam.
3. , the man plays the two tam-tams.

Answer with only the number.
Answer:
",3
"A man plays the tam-tams in a room. The man plays only in one tam-tam. Then, the man plays the two tam-tams. after

Choose the most appropriate continuation:
0. , the man plays the first tam-tam.
1. , the man plays the two tam-tam.
2. , person walks nice walk on a front of the left foot of the tam-tam.
3. , the man finish playing the instruments.

Answer with only the number.
Answer:
",3
"A group of men are shown walking through an airport. A man removes a violin from his case. he

Choose the most appropriate continuation:
0. interacts with his orchestra as they play for the crowd.
1. speaks to the camera and begins playing the instrument while a crowd watches.
2. plays for the small crowd that passes through.
3. lays the instrument upright on the case.

Answer with only the number.
Answer:
",2
"A person picks up a knife and a knife sharpener. The person sharpens the knife. the person

Choose the most appropriate continuation:
0. runs the knife through a piece of white paper.
1. spins the knife around the sharpener.
2. draws a face on the wooden board while holding the sharpener.
3. dips a paper in the sharpener.

Answer with only the number.
Answer:
",0
"A man is sitting on a green riding lawn mower. He continues to mow the lawn. he

Choose the most appropriate continuation:
0. blows all the leaves off of the grass.
1. has of an object in the grass with a piece of plastic.
2. mows around a bush on the lawn.
3. shows off a string of grass cloths.

Answer with only the number.
Answer:
",2
"A boy stands on a basketball court holding a ball. other players

Choose the most appropriate continuation:
0. make baskets on the court.
1. swarm the boy holding the ball.
2. are chasing after the ball.
3. approach in the background, then the boy in the court runs and gives a high jump.

Answer with only the number.
Answer:
",1
"A boy stands on a basketball court holding a ball. Other players swarm the boy holding the ball. the boy

Choose the most appropriate continuation:
0. spins around and hits the ball towards the basket.
1. spins and lets the ball roll on the ground.
2. swings the ball and lets go.
3. toss the ball to a player under the hoop.

Answer with only the number.
Answer:
",3
"The boy toss the ball to a player under the hoop. The player with the ball tries to take a shot but misses. the player

Choose the most appropriate continuation:
0. takes another shot but misses the ball this time.
1. grabs the ball tense from the man under the hoop.
2. again tries to take a turn but fails.
3. tries again and scores.

Answer with only the number.
Answer:
",3
"A boy is shown holding a fish with the words ""paddle fish caught ice fishing?"". A man is seen sitting on a bucket on the ice fishing through a hole in the ice. he

Choose the most appropriate continuation:
0. catches a fish and then puts it back in the water under the ice.
1. is shown canoeing through the area with fish and people following him.
2. pulls up fish and puts them into a sling.
3. shows up in several clips stretching out a fish from the same hole in the ice.

Answer with only the number.
Answer:
",0
"A man is seen sitting on a bucket on the ice fishing through a hole in the ice. He catches a fish and then puts it back in the water under the ice. he

Choose the most appropriate continuation:
0. catches and moves back to the life buoy.
1. chases after into the hole again and pulls it out while pulling it up with his fishing pole.
2. stands up on the other side of the hole still fishing and ends by walking off.
3. then catches a few more fish afterwards.

Answer with only the number.
Answer:
",3
"A woman is sitting on wood deck. The woman has red yawn and a needle in her lap. the woman

Choose the most appropriate continuation:
0. sits and knits vigorously.
1. is showing and use unto one of the nail clippers.
2. shows ad become chewing on the needle.
3. starts to hurt herself with the needle.

Answer with only the number.
Answer:
",0
"A man is standing with a fishing pole. he

Choose the most appropriate continuation:
0. is fishing through a hole in the ice.
1. is talking as he takes a couple of fish out of his net.
2. is talking as he hooks a fish with his other hand.
3. bends over and grabs a large, black fish off the ground.

Answer with only the number.
Answer:
",0
"A man is standing with a fishing pole. He is fishing through a hole in the ice. he

Choose the most appropriate continuation:
0. pulls his fishing line out of the hole and into the water.
1. lines up a small white fish, grabbed some black and white arrowheads.
2. reels in a large fish that he caught.
3. chews on an ice floe as he speaks to the camera.

Answer with only the number.
Answer:
",2
"The words ""the good works tour cuts the lawn with machetes!"" appears on screen. a volunteer named "" irene zimmerman ""

Choose the most appropriate continuation:
0. walks up to the camera to tour the lawn.
1. speaks to the camera in a field.
2. is seen mowing the lawn and credits begin to flash on screen.
3. walks up to the garden and removes the leaves from a red lawn.

Answer with only the number.
Answer:
",1
"A volunteer named ""irene zimmerman"" speaks to the camera in a field. A volunteer named zeek compton speaks to the camera. they both

Choose the most appropriate continuation:
0. then demonstrate using the mowing equipment.
1. use shovels to clear snow off of their cars and trucks.
2. take turns speaking on camera.
3. begin rolling a ball over and over using an iron.

Answer with only the number.
Answer:
",2
"A man wearing a suit is sitting behind a desk with papers in front of him, a blue screen behind him, and he's talking into the camera while words scroll at the bottom. video clips

Choose the most appropriate continuation:
0. of hockey players are displayed in taking turns and shifting across the screen without really using a device.
1. are shown of the home he's renovating and steps are shown on the stairs as well as the roof, the roof, teams lined up, and people wearing signs talking.
2. are shown of people performing flips on the same floor where people pass, and shows them performing several flips before the man walks back the way he came.
3. of hockey players on a rink and people in the stands begin to play while words are still scrolling on the bottom, and at times a man is shown talking to the camera with blue words on the bottom that say "" amateur ice hockey league crowned with gala game against past legends "".

Answer with only the number.
Answer:
",3
"More clips of people playing hockey on a rink and a man holding a microphone because talking and the blue words on the bottom of the screen read ""new russian president vladimir putin makes surprise appearance"". the men

Choose the most appropriate continuation:
0. continue playing with all of the hockey players until the man with the microphone stops playing and walks away.
1. are done playing hockey and are now standing in a line so they can shake hands.
2. then discusses their movements, that is quickly changing to knitters thrown in the court of judges, and the blue words on the screen say "" link "".
3. continue to play hockey without losing a point and after several shots to the man he's holding a microphone pretending to ignore it and just play.

Answer with only the number.
Answer:
",1
"A container of ice cream is shown. A bowl of the same ice cream is then shown. they

Choose the most appropriate continuation:
0. eat the ice cream and the camera pans around the bun that the ice cream is being made out of.
1. are sitting on a stove top.
2. scoop the ice cream out of the container.
3. return to the case and find more ice cream.

Answer with only the number.
Answer:
",1
"A container of ice cream is shown. A bowl of the same ice cream is then shown. They are sitting on a stove top. a man

Choose the most appropriate continuation:
0. then eats the ice cream and talks to the camera.
1. goes with some sort of jeep, and then the kids have ice cream.
2. drizzles other ice cream on a bowl of ice cream.
3. adds vanilla scoops to a bowl and places it to a brown where it is blended with the chocolate chip ice cream.

Answer with only the number.
Answer:
",0
"People are swimming in the water. two women

Choose the most appropriate continuation:
0. are sitting at a desk.
1. are standing on top of a diving board together.
2. are in the boat.
3. are standing on the beach watching.

Answer with only the number.
Answer:
",3
"A woman is standing in front of a green background. she

Choose the most appropriate continuation:
0. then has her hair brushed, twisting and styling it, combing it, giving all of it a feel.
1. is playing the violin with a long bow.
2. is throwing a ball back and forth with a stick.
3. then starts removing wallpaper from a wall.

Answer with only the number.
Answer:
",1
"A woman is seated in a beauty chair. a tattooed man with tools

Choose the most appropriate continuation:
0. is shaving some young girl's legs.
1. and a tattoo artist are injecting her into a purple bottle.
2. appears and pierces her lower lip.
3. is walking across her body and she begins to laugh.

Answer with only the number.
Answer:
",2
"A woman is seated in a beauty chair. A tattooed man with tools appears and pierces her lower lip. he

Choose the most appropriate continuation:
0. then kisses and licks her in front of an naga.
1. then pierces a glass with a glass cutter.
2. then moves to her upper lip only pinning it with his tools.
3. finishes and gives her a drink.

Answer with only the number.
Answer:
",3
"A man mows his front lawn with an electric power push mower. the person

Choose the most appropriate continuation:
0. stops and pauses to look at the viewer.
1. rolls down five more fluffy grass bordered lawns.
2. flips the mower until the end then turns to continue mowing.
3. uses the push mower to figure out which corner of the lawn he wants to sweep the remains.

Answer with only the number.
Answer:
",0
"The credits of the clip are shown. A guy is tossing a freebie outsides in a field. a dog

Choose the most appropriate continuation:
0. is fetching the freebie.
1. is standing next to the freeels.
2. is running in the field after a freekin.
3. uses frisbees to catch the frisbees.

Answer with only the number.
Answer:
",0
"A car is driving down a winding road. a man

Choose the most appropriate continuation:
0. is seen standing on a dirt ground, very still.
1. is driving behind them, recording as they go.
2. comes around and opens and closes a door.
3. is leaning over painting the side of a car.

Answer with only the number.
Answer:
",0
"The woman n white is instructing the girls in blue uniform on how to do a lay up. The girl one by one rent to the basketball and threw the balls. the girls

Choose the most appropriate continuation:
0. dribble the ball as then do a lay up to the basket.
1. in blue skateboarded and girls in white are walked up stairs around the gym.
2. did the same back and fourth to the man on the monitor.
3. continue to do back flips and doing shots, and the little girl jumps and splits on the grass.

Answer with only the number.
Answer:
",0
"A person is seen riding in on a horse chasing a calf in the middle of a large crowd. Another man is seen chasing a calf on a horse and roping a calf running away. several more men

Choose the most appropriate continuation:
0. are seen through the break in the crowd riding horses and chasing back the calf.
1. are seen hurt and running away while the camera pans all around them.
2. bring the calf back to the crowd and tie off the calf.
3. take their turns chasing after the calfs.

Answer with only the number.
Answer:
",3
"A woman is standing outside with some white furniture. She begins to point and explain the process to paint her furniture yourself like a diy project. after she

Choose the most appropriate continuation:
0. is done talking to the camera, she uses various tools to get soft materials while balancing and then wringing them out.
1. 's finished, she shows how you can hang the furniture, put the paint on it and spread it out in a decorative manner.
2. 's done trying to paint, she begins putting all all of the pieces together and goes to get more supplies.
3. shows the colors of the paint that she is planning to use then she grabs some grey paint and paint brush ans begins at the top of the white chair.

Answer with only the number.
Answer:
",3
"Kids and adults are running around a room. They are putting decorations on a christmas tree. they

Choose the most appropriate continuation:
0. take picture of the tree.
1. are enjoying living in the city and exploring the art and water features.
2. hang lights and then the ornaments.
3. go up the stairs and start decorating the tree.

Answer with only the number.
Answer:
",2
"Two men are crouched on a frozen lake. They have drilled a hole through the ice. they

Choose the most appropriate continuation:
0. use a fishing pole to catch fish through the hole in the water.
1. carve each other's faces and take turns carving out the heart of a moose.
2. swim through the holes, trying to stay afloat.
3. drill glitter into it on the side of their canoe.

Answer with only the number.
Answer:
",0
"Graphics with the ""isport com instructional video lessons"" appears on screen. young men

Choose the most appropriate continuation:
0. play basketball in an indoor court and "" how to do a spin move in basketball "" overlays the video.
1. talk on lacrosse field while several players speak on link to a different video.
2. compete soccer soccer on a soccer field competition.
3. are seen taking into a tutorial on how to do "" boots "" and how to make them comfortable on hard dirt while several people cheer.

Answer with only the number.
Answer:
",0
"Young men play basketball in an indoor court and ""how to do a spin move in basketball"" overlays the video. "" power dribble

Choose the most appropriate continuation:
0. , step over swing "" overlay lays the video and the still of the is about to make a ground slide.
1. "" overlays video of the players demonstrating the steps of doing it.
2. "" children are shown from several angles as they run down the court to serve.
3. dribble back and forth, then dribble on the left hand to click when the ball's moved to go on the left hand side until a stripe is pushed and, the goalkeeper is perplexed.

Answer with only the number.
Answer:
",1
"Young men play basketball in an indoor court and ""how to do a spin move in basketball"" overlays the video. ""power dribble"" overlays video of the players demonstrating the steps of doing it. a recap of the steps

Choose the most appropriate continuation:
0. to practice basketball are shown.
1. involved in dribble on basketball.
2. include the use of the dribbling cell phone, and the process of receiving battery spares and credits.
3. is shown in a smaller window.

Answer with only the number.
Answer:
",3
"Two young men ride skateboards down numerous paved streets in upper class residential neighborhoods. two young men

Choose the most appropriate continuation:
0. begin to skateboard down the street of a residential neighborhood.
1. skateboard on cobblestone streets in an inner city city.
2. skateboard down street and residential neighborhoods on the city sidewalks while small kids pull on skateboards near them near a building and stand at attention.
3. bring skateboards onto sidewalks left and right in the streets of upper class residential neighborhoods.

Answer with only the number.
Answer:
",0
"A small group of people are seen swimming around a pool. The people throw a ball around the water. the people

Choose the most appropriate continuation:
0. continue playing with one another in the pool.
1. continue to throw the balls around while walking around with bottles of water.
2. continue swimming around and back to the camera.
3. continue swimming around and play with one another.

Answer with only the number.
Answer:
",0
"A man and brown dog are in a fenced off area of an arena with people watching them. The man throws frisbees for the dog to catch. the man

Choose the most appropriate continuation:
0. then kicks an object to the dog holding it, and the dog launches it and catches.
1. retrieves a frisbee from the sandy ground and the dog joins it and dogs it it to catch.
2. performs special tricks with the dog using the frisbee.
3. jumps and twirls the dog across his body very gracefully.

Answer with only the number.
Answer:
",2
"The man throws frisbees for the dog to catch. The man performs special tricks with the dog using the frisbee. the man

Choose the most appropriate continuation:
0. spins the dog in his hands and catches the frisbees and throw with the dog.
1. jumps on the dog with the frisbee.
2. lifts the dog triumphantly over his head and carries him on his shoulder.
3. jumps on the dog on his back.

Answer with only the number.
Answer:
",2
"A track athlete prepares to run toward the target. She runs, then jumps onto the mat. she

Choose the most appropriate continuation:
0. does several pushups on the mat.
1. begins to run with a javelin.
2. walks away dejectedly after missing.
3. counts to three and does a high jump.

Answer with only the number.
Answer:
",2
"A group of young women and men play a game of volleyball on the beach while wearing swimsuits and trunks. a group of woman and men

Choose the most appropriate continuation:
0. continue to run after each other while moving their arms and legs.
1. wears bikinis on a beach.
2. are playing volleyball, on the beach on an overcast day with all players approaching the ball to hit it.
3. enjoy a surf surf toss in the ocean, and watch a man of asian descent and two women of asian descent turn around on the seated it.

Answer with only the number.
Answer:
",2
"Man is in the subway holding a vacuum cleaning the floor. people

Choose the most appropriate continuation:
0. are sitting on sax and filming it.
1. are playing police basketball on a room of a building and other people are in the park shooting game.
2. are sitting on benches on the subway.
3. are hall cleaning the black printing of a graphic.

Answer with only the number.
Answer:
",2
"Man is in a workshop and puts a glove in his hand and grab a weld machine. man

Choose the most appropriate continuation:
0. start welding something in a metal table.
1. is welding a dimensional surface an separating parts.
2. is standing in front of a wall and is whipping the wall with the weld machine.
3. is standing in a cubed in front of a laptop and is showing how to weld pants and large belt.

Answer with only the number.
Answer:
",0
"Man is in a workshop and puts a glove in his hand and grab a weld machine. Man start welding something in a metal table. the man

Choose the most appropriate continuation:
0. turn off the weld machine on to the table and put another on.
1. balances on a welder and move his hand.
2. is driveling in front of the workbench giving instructions on the, machine.
3. holds another tool and then keeps welding the metal.

Answer with only the number.
Answer:
",3
"A small group of men are seen running around a field playing soccer. one

Choose the most appropriate continuation:
0. after the other they throw the ball all together while one turns in circles.
1. runs after the ball and throws it at the net, which eventually hits him on the head.
2. kicks the ball all towards another group of people.
3. scores a goal and is shown several more times again.

Answer with only the number.
Answer:
",3
"A small group of men are seen running around a field playing soccer. One scores a goal and is shown several more times again. the men

Choose the most appropriate continuation:
0. cheer for the camera as the girls continue to run around the field.
1. continue to play while continuing dancing and smiling to one another in the end.
2. smile to one another and continue playing the sport.
3. continue to play while the player in front turns off the camera.

Answer with only the number.
Answer:
",2
"Now two brown men who were crouched down in front of the adults playing instrument stand up and they do a dance that include both of them holding onto long bladed knives while everyone around them continues to watch. a white skin man

Choose the most appropriate continuation:
0. enters and does his knife routine with one of the brown men as the other one leaves, and they continue switching out and taking turns with this double knife dance with only two of them dancing at a time.
1. in some years walks past in one piece and then is seen walking next to a small girl behind the other and then backs away posing for pictures.
2. wearing white pants pulls on a long braided beard on the right with a brush, the man wearing green shirt begins to move fast to the left of the man wearing brown pants starts to move rapid till all of the males are in place.
3. wearing a blue sweater wearing a black shirt begins to roll the violin into a ball while other gray pucks stand nearby and watch him.

Answer with only the number.
Answer:
",0
"A couple of men are competiting in a pit outdoors. they

Choose the most appropriate continuation:
0. drill across the sand in the center to find with their shovels.
1. stand on blocks of wood, using axes.
2. pose for pictures that are being displayed at various points in the spectator game.
3. are assembling drums, which they use to sound the drums and play them.

Answer with only the number.
Answer:
",1
"A couple of men are competiting in a pit outdoors. They stand on blocks of wood, using axes. they

Choose the most appropriate continuation:
0. knock nails and nails down on the ground.
1. use an ax on the boxes.
2. use the axes to chop the wood as quickly as possible.
3. twist the axe by hand to better wrest it up.

Answer with only the number.
Answer:
",2
"A man is seen hosting a news segment and leads into a group of people sitting with a dog. The men shake hands and begin playing a game of crochet. they

Choose the most appropriate continuation:
0. are then shown spinning the ball around a pole and moving their hands up and down.
1. hit the stick against the ball and the dog chops it around.
2. hit where the ball landed and the dog chases after it with a frisbee.
3. speak to the camera while continuing to play and others commenting on the game.

Answer with only the number.
Answer:
",3
"A large cat is walking down a brick pathway with a leash alongside a small white dog. as the walk

Choose the most appropriate continuation:
0. continues, the cat stops and begins staring at a parked car with large red flames painted on the side.
1. , the dogs nose brushes the leash.
2. , the dog pushes the woman on its front legs.
3. , the black and white perform various turns and tricks with the small white dog.

Answer with only the number.
Answer:
",0
"Another car is parked and the cat comes to a halt again before perusing the rest of the sidewalk and walking over the puddles. finally

Choose the most appropriate continuation:
0. , it scoops up the ice off the sidewalk and returns to putting in more everywhere until it reaches the snow.
1. , the cats grab their bags and leave.
2. , the walk ends and the cat begins walking up the steps and looking at the person who was walking him.
3. they arrive at an empty table where a man is talking and the cat walks findings first on a dog and dog hin.

Answer with only the number.
Answer:
",2
"The logo ""crossfit connect"" appears on screen. ""the olympic lifts part 2 - the clean & jerk"" appear. a woman weightlifter

Choose the most appropriate continuation:
0. without a shirt is standing on a lift.
1. is entered on the screen by the credit casters.
2. is standing behind an exercise machine and pushes it forward.
3. demonstrates the jerk followed by a list of phases.

Answer with only the number.
Answer:
",3
"A man bends over into a pond. he

Choose the most appropriate continuation:
0. sticks his hands into the water and begins swimming.
1. reaches into the pond.
2. throws a ball onto the field.
3. lays down in the grass.

Answer with only the number.
Answer:
",1
"An overhead view of a blue pool table is shown. a man

Choose the most appropriate continuation:
0. begins using the glasses to measure the ball.
1. takes shot with the cue.
2. is shown in a canoe paddling as he moves it between large rocks.
3. plays a game of pool in the water.

Answer with only the number.
Answer:
",1
"An overhead view of a blue pool table is shown. A man takes shot with the cue. A replay with overlaid graphics is shown. the man

Choose the most appropriate continuation:
0. takes shot after shot.
1. laughs and speaks after his shot.
2. continues to play pool.
3. takes off his shirt.

Answer with only the number.
Answer:
",2
"A girl starts brushing her hair. She wraps a curler around her hair and attaches it to her head. she

Choose the most appropriate continuation:
0. puts another curler on the other side of her head.
1. pulls it off and spreads it a few times.
2. then wets her brush and begins braiding her hair.
3. continues brushing her hair.

Answer with only the number.
Answer:
",0
"A group of people are seated around a dining table. A man is playing a harmonica for the group. they

Choose the most appropriate continuation:
0. applaud and cheer as they play.
1. pull up chairs next to him as he strums.
2. sit and listen intently as he plays.
3. celebrate as he continues to play the harmonica for them.

Answer with only the number.
Answer:
",2
"A man is riding a surf board in the ocean water. he

Choose the most appropriate continuation:
0. does some stunts to stay afloat.
1. almost capsizes on the waves knocking him over.
2. is being pulled by a line down by a large wave.
3. stays balanced as he goes sideways over a wave.

Answer with only the number.
Answer:
",3
"Two woman stand by a body of water holding bows and arrows. They each take turns shooting a bow across the water onto a target. a bigger group of people

Choose the most appropriate continuation:
0. finally joins their team at the target board.
1. are seen in the end of the forest shooting more bows.
2. are then shown having the same target practice.
3. swims and jumps in the line of the arrows.

Answer with only the number.
Answer:
",2
"A man stands behind a bar and starts talking. the man

Choose the most appropriate continuation:
0. bottles alcohol into a high glass.
1. demonstrates several different stances and moves.
2. holds up a martini glass.
3. uses a hose to clean the liquor bottles.

Answer with only the number.
Answer:
",2
"A man stands behind a bar and starts talking. The man holds up a martini glass. the man

Choose the most appropriate continuation:
0. then begins making and mixing a drink.
1. pants and talks for the rest of the conversation.
2. then gargles and spits into the glass.
3. picks up a bottle of vodka and drinks.

Answer with only the number.
Answer:
",0
"A man bends down and picks up a large weight. he

Choose the most appropriate continuation:
0. picks up a woman and sets her down on a bench.
1. lifts it over his head and drops it onto a mat.
2. lifts the weight to his shoulder and throws it over his back.
3. lifts up and throws it.

Answer with only the number.
Answer:
",1
"A woman is standing in front of a truck in a driveway. she

Choose the most appropriate continuation:
0. is then shown snowboarding down a hill.
1. picks up several bricks from the ground.
2. is using a large shovel to move snow.
3. uses a lawn mower to sweep the snow off the front of the truck.

Answer with only the number.
Answer:
",2
"A man is seated inside a workshop. he

Choose the most appropriate continuation:
0. cuts a piece of wood, and shows how to use equipment on it.
1. is holding a hammer in one hand as he applies wallpaper to another wall.
2. begins roofing a ceiling with a bungee cord.
3. is using tools and a shaver to trim his beard.

Answer with only the number.
Answer:
",0
"Two people are seen playing badminton when one man speaks to the camera. The man moves his body around and demonstrates how to properly hit the birdie. he

Choose the most appropriate continuation:
0. continues to speak and demonstrate on how to play.
1. throws the ball more and faster while playing.
2. moves it all the way to the bag and continues to hit until the ball is clear and then lets it go.
3. continues to speak and advance to volley, volley and volley while the other two try to hit the ball back.

Answer with only the number.
Answer:
",0
"A man stands behind a food counter and places food in a cup with a stick. He then taunts the customer with the cup, keeping it out of reach. he

Choose the most appropriate continuation:
0. then leisurely starts squeezing lemons into the cup with the stick.
1. then slides it down the counter where she can retrieve it.
2. continues to taunt her by blowing the food into a small circular cup that is sitting on a counter next to the food.
3. does this several times, hitting the guy with it every time.

Answer with only the number.
Answer:
",1
"A black male athlete is outside in a field at a track meet preparing to clear a high jump. the guy

Choose the most appropriate continuation:
0. then gets in his long jump while 10 men watch on the sideline.
1. in the black shirt is competing against another man, who is running towards the high jump stage in his left hand.
2. takes off running at an angle and is able to do a backwards jump over the six foot bar and clears it.
3. then legs and abs the high jump and is announcin a little bigger then the past two which are both real.

Answer with only the number.
Answer:
",2
"The guy takes off running at an angle and is able to do a backwards jump over the six foot bar and clears it. after

Choose the most appropriate continuation:
0. , the guy is able to do the four un more flips over and over again.
1. he is done, the anoter basically gives the signal and walks up to the balance bar as the crowd cheers, claims their score and turns to cheering for a second.
2. , he is able to perform another high jump and throws flapping ropes across the beam very far.
3. , more athletes appear and they follow suit by doing high jumps and clearing the bar without scratching.

Answer with only the number.
Answer:
",3
"After, more athletes appear and they follow suit by doing high jumps and clearing the bar without scratching. as the guys

Choose the most appropriate continuation:
0. in a chase begins, another person who ran into them accidentally hits them and they all bow down to give remorse to the players.
1. run, they do high jumps off the bar into the water and continue running till their run is over.
2. continue successfully jumping, they jump on top of the mat and throw their hands in the air because in joy from their success.
3. continue their routine, next, a large red banner appears upside down and some of them appear sporting long hair.

Answer with only the number.
Answer:
",2
"A man is dribbling two basketballs on a court. A man blocks another man with a blue mat. a man

Choose the most appropriate continuation:
0. shoots a basketball at a child holding a bakery cup.
1. sticks a dart into the hoop next to the hoop.
2. shoots a basket and scores.
3. up front steps and jumps on the man's back.

Answer with only the number.
Answer:
",2
"A section of grasses and yellow flowers with clover is seen. A man comes and cuts a section of the grass with a hand tool. he

Choose the most appropriate continuation:
0. cuts a few more sections.
1. then cuts the entire patch off.
2. swings the shears several times to make sure all is as it was from a close angle.
3. removes the grass from a tree.

Answer with only the number.
Answer:
",0
"A man comes and cuts a section of the grass with a hand tool. He cuts a few more sections. then he

Choose the most appropriate continuation:
0. holds up the grass he has cut to the camera and walks away.
1. cuts a few more parts to create the robot.
2. cuts the portion with cutting tools.
3. chunks the grass with his knife.

Answer with only the number.
Answer:
",0
"The second man magically has two pong balls in his hands then magically adds 10 cups to the table for beer pong. the first guy

Choose the most appropriate continuation:
0. pours beer and the guys play beer pong.
1. suddenly has two cups full of beer and he urrows while all the cups are hanging in the air.
2. tries to raise all the balls and ends up trying to keep in the cup.
3. drops all the balls in the cups before pulling one behind him and dropping them on the floor.

Answer with only the number.
Answer:
",0
"The second man magically has two pong balls in his hands then magically adds 10 cups to the table for beer pong. The first guy pours beer and the guys play beer pong. the second guy

Choose the most appropriate continuation:
0. takes the cup of beer with both hands, then he turns over the cups, drops it in the table for beer pong, then shoots balls into them.
1. makes shot after shot and the first guy drinks beers.
2. gives a boy about 15 cups of beer before throwing.
3. sits on the floor and he has one of the guys throw balls to one another.

Answer with only the number.
Answer:
",1
"A couple of people are in an indoor basketball court. they

Choose the most appropriate continuation:
0. are hitting the ball back and forth.
1. kick the ball back and forth, then kick it back and forth.
2. engage in a game of racquetball.
3. are playing a game of one on one.

Answer with only the number.
Answer:
",3
"A man is dressed in a spiderman outfit. he

Choose the most appropriate continuation:
0. is leaning against a rail inside a building.
1. is standing on a roof of a home.
2. is playing the drums while he talks.
3. is using a needle to thread through shoelaces.

Answer with only the number.
Answer:
",0
"A man is seen moving a pool stick and begins hitting balls on a table. He stops to speak to the camera and continues hitting the balls around. he

Choose the most appropriate continuation:
0. continues to serve balls all around doing various tricks.
1. hits the balls one last time.
2. moves the balls all throughout the pool and finally hits a blue cue.
3. throws the ball in the end and begins talking to another man.

Answer with only the number.
Answer:
",1
"An introduction comes onto the screen for a video about ice cream. some people

Choose the most appropriate continuation:
0. are shown in stove making the ice cream.
1. are standing by an ice cream truck talking about getting some ice cream.
2. get stuck and get back on their feet.
3. are shown at the ice cream stand as a man cleans and folds a custard cone.

Answer with only the number.
Answer:
",1
"An introduction comes onto the screen for a video about ice cream. Some people are standing by an ice cream truck talking about getting some ice cream. they

Choose the most appropriate continuation:
0. get some out of a carton and they eat it.
1. give instructions about how to use the ice cream and what you'll like it on.
2. walk up to the truck window and get their ice cream.
3. go into a small ice cream dome, and a person starts to do tricks off of it.

Answer with only the number.
Answer:
",2
